Pobla|Term|Max|Cruce|Mutacion|ProbCruce|ProbMutaci|TError|
100|150|25|0|0|0.7|0.25|0.23754789272030652|
100|150|25|0|0|0.7|0.25|0.24904214559386972|

100|150|25|0|0|0.8|0.25|0.31034482758620685|
100|150|25|0|0|0.8|0.25|0.25287356321839083|

100|150|35|0|0|0.1|0.25|0.29501915708812265|

100|150|35|0|0|0.2|0.25|0.2183908045977011|

100|150|35|0|0|0.3|0.25|0.2068965517241379|
100|150|35|0|0|0.3|0.25|0.24521072796934862|

100|150|35|0|0|0.4|0.25|0.28352490421455934|
100|150|35|0|0|0.4|0.25|0.29885057471264365|

100|150|35|0|0|0.25|0.5|0.29501915708812265|
100|150|35|0|0|0.25|0.5|0.28735632183908044|

100|150|35|0|0|0.3|0.5|0.22605363984674332|
100|150|35|0|0|0.3|0.5|0.27969348659003834|

100|150|35|0|0|0.4|0.5|0.24904214559386972|
100|150|35|0|0|0.4|0.5|0.26053639846743293|

100|150|35|0|0|0.35|0.5|0.33333333333333337|

100|150|35|0|0|0.5|0.5|0.24904214559386972|
100|150|35|0|0|0.5|0.5|0.30651340996168586|

100|150|35|0|0|0.7|0.3|0.27969348659003834|

100|150|35|0|0|0.7|0.1|0.367816091954023|


100|150|35|0|0|0.7|0.2|0.32183908045977017|
100|150|35|0|0|0.7|0.3|0.30268199233716475|

100|150|35|0|0|0.3|0.3|0.30268199233716475|
100|150|35|0|0|0.3|0.2|0.30268199233716475|
100|150|35|0|0|0.3|0.1|0.3486590038314177|
100|150|35|0|0|0.3|0.1|0.27969348659003834|

100|150|35|0|0|0.3|0.2|0.29118773946360155|
100|150|35|0|0|0.3|0.2|0.24137931034482762|

100|150|35|0|0|0.3|0.25|0.27203065134099613|
100|150|35|0|0|0.3|0.25|0.2567049808429118|

TIC TAC


